"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1975","LAD","2047","6246","118","648","606","138","9.8%","13.2%",".116",".271",".248",".325",".365",".316","","96","8.5","-23.7","120.6","31.1"
"2003","SEA","2180","6281","139","795","759","108","9.3%","15.7%",".139",".306",".271",".344",".410",".331","","104","2.4","36.5","62.6","31.1"
"2001","STL","2300","6177","199","814","768","91","8.6%","17.6%",".172",".302",".270",".339",".441",".335","","101","2.7","11.2","103.0","31.1"
"1886","STL","1257","5461","20","944","655","336","7.3%","",".087","",".273",".333",".360",".330","","109","17.3","92.1","47.1","31.1"
"1952","BRO","1869","6068","153","775","725","90","10.9%","11.5%",".137",".278",".262",".348",".399",".350","","105","5.1","42.9","50.3","31.0"
"1997","HOU","2164","6363","133","777","720","171","9.9%","17.1%",".144",".298",".259",".344",".403",".330","","100","2.8","4.7","107.8","31.0"
"1991","PIT","2219","6269","126","768","725","124","9.9%","14.4%",".135",".291",".263",".338",".398",".330","","109","6.4","70.1","23.1","31.0"
"1989","SFG","2315","6139","141","699","647","87","8.3%","17.4%",".140",".285",".250",".316",".390",".315","","105","-5.8","25.1","76.2","31.0"
"1903","PIT","1341","5511","34","793","650","172","6.6%","",".106","",".286",".341",".393",".348","","106","-3.8","40.9","60.3","31.0"
"1930","WAS","1689","6113","57","892","819","101","8.7%","7.2%",".124",".321",".302",".369",".425",".361","","103","-13.8","12.4","95.7","31.0"
"1948","NYY","1769","6048","139","857","806","24","10.3%","7.9%",".154",".285",".278",".356",".432",".367","","109","-7.9","60.9","44.3","30.9"
"2001","SFG","2231","6408","235","799","775","57","9.8%","17.0%",".194",".290",".266",".342",".460",".341","","108","-7.2","60.2","46.3","30.9"
"2005","CLE","2166","6255","207","790","760","62","8.0%","17.5%",".181",".302",".271",".334",".453",".340","","110","3.6","76.4","20.2","30.9"
"1954","CLE","1926","6048","156","746","714","30","10.5%","11.0%",".141",".272",".262",".341",".403",".342","","106","-2.5","41.8","71.4","30.9"
"1914","CWH","1681","5826","52","621","544","171","8.9%","10.6%",".095",".285",".258",".331",".352",".333","","101","16.4","24.5","71.9","30.9"
"1945","NYY","1637","5926","93","676","639","64","10.4%","9.6%",".114",".277",".259",".343",".373",".345","","108","-7.2","46.3","61.1","30.8"
"1999","CIN","2274","6378","209","865","820","164","8.9%","17.6%",".179",".304",".272",".341",".451",".344","","96","8.4","-25.3","137.3","30.8"
"1987","NYM","2141","6335","192","823","771","159","9.3%","16.0%",".166",".295",".268",".339",".434",".335","","108","8.4","69.6","24.6","30.8"
"1914","NYG","1789","5789","30","672","566","239","7.7%","8.3%",".084",".287",".265",".330",".348",".331","","104","29.9","57.4","60.4","30.8"
"1969","MIN","2217","6424","163","790","733","115","9.3%","14.1%",".141",".292",".268",".340",".408",".337","","106","-1.1","40.8","60.0","30.8"
"2007","DET","2269","6364","177","887","857","103","7.4%","16.6%",".171",".323",".287",".345",".458",".347","","108","8.0","75.1","19.4","30.7"
"2010","TBR","2361","6270","160","802","769","172","10.7%","20.6%",".156",".293",".247",".333",".403",".326","","106","37.6","78.5","-3.2","30.7"
"1929","PHA","1666","5987","122","901","845","63","9.0%","7.3%",".154",".305",".295",".365",".450",".371","","108","-7.8","58.5","48.1","30.7"
"1928","NYG","1771","6103","118","807","758","62","7.3%","6.2%",".137",".298",".293",".349",".430",".359","","103","9.3","35.6","82.5","30.7"
"1930","NYG","1758","6161","143","959","880","59","6.8%","6.2%",".155",".323",".319",".369",".473",".375","","103","11.3","42.4","79.2","30.7"
"1901","PIT","1313","5468","29","777","636","203","7.1%","",".092","",".286",".345",".379",".344","","109","1.7","63.8","57.2","30.7"
"1892","PHI","1442","5995","50","860","693","216","8.8%","8.6%",".104",".283",".262",".334",".367",".341","","109","-12.0","63.0","36.4","30.6"
"1986","NYY","1758","6325","188","797","745","139","10.2%","14.4%",".159",".293",".271",".347",".430",".344","","114","8.1","112.4","-26.0","30.6"
"1909","DET","1561","5763","19","666","521","280","6.9%","",".075","",".267",".325",".342",".328","","106","15.9","49.0","51.9","30.6"
"1950","BRO","1814","6086","194","847","774","77","10.0%","10.4%",".172",".279",".272",".349",".444",".362","","105","13.7","53.6","65.8","30.6"
"1942","STL","1796","6125","60","755","680","71","9.0%","8.2%",".111",".287",".268",".338",".379",".342","","107","11.3","57.7","53.3","30.6"
"1890","COL","1298","5332","16","831","620","353","10.2%","",".076","",".258",".341",".335",".334","","107","10.4","62.8","103.9","30.6"
"1984","PHI","2296","6284","147","720","673","186","8.8%","17.3%",".141",".304",".266",".333",".407",".330","","107","13.1","62.4","19.9","30.5"
"1926","CIN","1762","6047","35","747","692","51","7.5%","5.5%",".110",".304",".290",".349",".400",".351","","105","7.4","41.7","82.3","30.5"
"1912","BOS","1545","5872","29","799","654","185","9.6%","",".103","",".277",".355",".380",".355","","111","-6.7","74.1","31.1","30.5"
"2011","MIL","2292","6113","185","721","693","94","7.9%","17.7%",".164",".293",".261",".325",".425",".327","","103","0.3","20.6","82.0","30.5"
"2011","ARI","2230","6096","172","731","702","133","8.7%","20.5%",".163",".294",".250",".322",".413",".322","","97","9.0","-14.8","117.8","30.5"
"1931","CHC","1748","6178","84","828","765","49","9.3%","10.4%",".133",".316",".289",".360",".422",".362","","110","8.4","90.6","27.2","30.5"
"1993","ATL","2086","6234","169","767","712","125","9.0%","15.2%",".146",".287",".262",".331",".408",".328","","94","6.4","-36.7","121.1","30.5"
"2021","TOR","2383","6070","262","846","816","81","8.2%","20.1%",".200",".296",".266",".330",".466",".340","","112","2.8","95.2","2.6","30.5"
"1982","BAL","1856","6325","179","774","735","49","10.0%","12.6%",".153",".280",".266",".341",".419",".339","","110","-5.1","70.5","22.6","30.5"
"1992","OAK","1801","6275","142","745","693","143","11.3%","13.2%",".129",".279",".258",".346",".386",".334","","113","4.3","97.2","-11.9","30.5"
"1979","MIL","1579","6227","185","807","766","100","8.8%","12.0%",".168",".294",".280",".345",".448",".350","","114","0.5","107.2","-15.4","30.5"
"1921","STL","1809","5915","83","809","733","94","6.5%","7.6%",".129",".325",".308",".358",".437",".365","","111","-4.9","76.4","30.9","30.4"
"1906","NYG","1540","5556","14","625","513","288","10.1%","",".065","",".255",".343",".320",".330","","107","14.9","57.9","30.9","30.4"
"1957","CHW","1925","6082","106","707","670","109","10.4%","12.2%",".115",".283",".260",".344",".375",".326","","101","6.5","11.5","95.2","30.4"
"1987","DET","1913","6444","225","896","840","106","10.1%","14.2%",".179",".287",".272",".349",".451",".348","","113","-2.8","101.5","-13.2","30.4"
"2002","STL","2366","6246","175","787","758","86","8.7%","14.8%",".157",".292",".268",".338",".425",".331","","101","11.7","18.1","82.2","30.4"
"2014","LAA","2468","6284","155","773","729","81","7.8%","20.1%",".147",".305",".259",".322",".406",".321","","110","1.3","67.3","11.5","30.4"
"1935","NYY","1610","5917","104","818","755","68","10.2%","7.9%",".136",".293",".280",".358",".416",".358","","105","-8.7","32.2","79.9","30.3"
"1968","PIT","2032","6163","80","583","538","130","6.8%","15.5%",".091",".289",".252",".306",".343",".293","","95","6.8","-21.9","84.2","30.3"
"1899","PHI","1466","5986","31","916","787","212","7.4%","",".093","",".301",".363",".395",".365","","109","-4.9","74.5","27.6","30.3"
"1949","NYY","1890","6041","115","829","760","58","12.1%","8.9%",".131",".282",".269",".362",".400",".360","","105","-2.4","33.2","65.4","30.3"
"1968","BAL","2012","6022","133","579","534","78","9.5%","16.9%",".127",".253",".225",".304",".352",".300","","100","5.2","5.9","105.9","30.3"
"1961","MIL","1826","5958","188","712","662","70","9.0%","14.8%",".157",".276",".258",".328",".415",".329","","101","-1.7","5.4","95.1","30.3"
"1956","MIL","1946","5897","177","709","667","29","8.2%","12.1%",".163",".269",".259",".323",".423",".328","","106","0.9","40.5","90.2","30.3"
"1996","CLE","1705","6486","218","952","904","160","10.3%","13.0%",".182",".309",".293",".369",".475",".367","","111","7.8","110.5","-35.0","30.2"
"1910","CHC","1593","5792","34","711","586","173","9.4%","8.6%",".098",".292",".268",".344",".366",".349","","107","-7.9","41.1","35.8","30.2"
"1930","CHC","1769","6354","171","998","941","70","9.3%","10.0%",".172",".325",".309",".378",".481",".383","","107","13.5","78.3","37.3","30.2"
"1995","BOS","1522","5716","175","791","754","99","9.8%","16.1%",".175",".310",".280",".357",".455",".356","","107","-0.8","53.2","59.8","30.2"
"1980","KCR","1784","6357","115","809","766","185","8.0%","11.2%",".128",".306",".286",".345",".413",".339","","107","19.0","70.4","6.7","30.1"
"1962","LAD","2147","6362","140","842","781","198","9.0%","13.9%",".132",".295",".268",".337",".400",".328","","104","22.9","54.0","23.3","30.1"
"1982","KCR","1715","6178","132","784","746","133","7.2%","12.3%",".143",".307",".285",".337",".428",".339","","109","7.8","74.0","20.0","30.1"
"1975","PIT","2051","6112","138","712","669","50","7.7%","13.6%",".139",".286",".263",".323",".402",".329","","102","0.2","16.2","72.6","30.1"
"1897","BSN","1285","5521","45","1025","885","233","7.7%","",".108","",".319",".378",".426",".381","","108","-3.0","64.2","64.9","30.1"
"1969","PIT","2060","6235","119","725","651","74","7.3%","15.1%",".121",".313",".277",".334",".398",".329","","104","4.2","35.6","30.5","30.1"
"2008","CHC","2345","6384","184","855","811","87","10.0%","18.6%",".165",".321",".278",".354",".443",".349","","104","6.1","33.2","64.1","30.1"
"1947","BRO","1908","6125","83","774","719","88","12.0%","9.2%",".112",".292",".272",".364",".384",".355","","100","16.3","15.2","73.2","30.0"
"1904","CHW","1465","5638","14","600","519","216","6.6%","",".074","",".242",".300",".316",".298","","101","9.5","16.8","78.1","30.0"
"2021","SFG","2597","6196","241","804","768","66","9.7%","23.6%",".191",".295",".249",".329",".440",".329","","108","-6.4","54.9","39.6","30.0"
"1966","ATL","2121","6286","207","782","734","59","8.1%","14.5%",".161",".279",".263",".326",".424",".329","","106","-2.9","38.8","21.9","30.0"
"2010","MIL","2262","6304","182","750","710","81","8.7%","19.3%",".161",".304",".262",".335",".424",".334","","104","0.6","32.4","66.3","30.0"
"1972","OAK","2113","5846","134","604","565","87","7.9%","15.2%",".126",".264",".240",".306",".366",".307","","105","1.6","28.7","76.7","30.0"
"1935","NYG","1717","6163","123","770","703","32","6.4%","7.8%",".130",".296",".286",".336",".416",".345","","104","4.4","33.2","62.6","29.9"
"1988","NYM","1963","6105","152","703","659","140","8.9%","13.8%",".140",".276",".256",".325",".396",".321","","111","4.0","78.2","7.6","29.9"
"1953","CLE","1895","6018","160","770","730","33","10.1%","11.3%",".140",".285",".270",".349",".410",".348","","108","0.1","59.6","35.8","29.9"
"2021","TBR","2389","6213","222","857","810","88","9.4%","24.8%",".186",".294",".242",".321",".428",".322","","109","11.2","81.2","5.4","29.8"
"1875","BSN","740","3548","15","831","565","93","0.9%","1.5%",".089",".323",".321",".327",".410",".335","","136","5.9","204.6","20.4","29.8"
"1973","ATL","2055","6384","206","799","758","84","9.5%","13.6%",".161",".281",".266",".339",".427",".343","","106","4.0","50.5","31.0","29.8"
"1960","PIT","1917","6029","120","734","689","34","8.1%","12.4%",".131",".299",".276",".335",".407",".329","","103","-0.6","21.2","69.2","29.8"
"1950","CLE","1831","6080","164","806","758","40","11.4%","10.2%",".153",".280",".269",".358",".422",".360","","104","-8.8","24.7","64.2","29.8"
"1910","NYG","1699","5873","31","715","623","282","9.6%","8.3%",".091",".299",".275",".354",".366",".354","","109","10.8","73.4","-8.3","29.8"
"1989","STL","2234","6141","73","632","587","155","8.3%","13.8%",".105",".292",".258",".321",".363",".309","","96","7.6","-22.9","115.5","29.7"
"2007","BOS","2278","6426","166","867","829","96","10.7%","16.2%",".165",".315",".279",".362",".444",".352","","109","-5.0","70.7","11.8","29.7"
"1907","CHC","1505","5570","13","571","450","235","7.8%","",".061","",".250",".318",".311",".313","","97","11.0","-6.6","97.2","29.7"
"1999","NYM","2323","6454","181","853","814","150","11.1%","15.4%",".156",".308",".279",".363",".434",".350","","105","2.5","46.0","57.0","29.7"
"1977","KCR","1836","6268","146","822","773","170","8.3%","11.0%",".159",".291",".277",".340",".436",".341","","109","2.4","69.1","10.7","29.7"
"1928","PHA","1701","6003","89","828","760","61","8.8%","7.2%",".142",".308",".294",".363",".436",".368","","107","-13.9","41.9","42.9","29.7"
"1939","CIN","1737","6106","98","767","714","46","8.2%","8.8%",".127",".294",".278",".343",".405",".346","","103","6.7","25.7","87.6","29.6"
"1991","DET","1792","6359","209","817","778","109","11.0%","18.6%",".169",".277",".247",".333",".416",".336","","106","3.0","50.3","31.9","29.6"
"1945","CHC","1799","6035","57","735","674","69","9.2%","7.7%",".095",".295",".277",".349",".372",".346","","102","10.3","24.6","63.6","29.6"
"2005","ATL","2347","6186","184","769","733","92","8.6%","17.5%",".170",".298",".265",".333",".435",".331","","100","-1.7","-3.1","96.7","29.6"
"2011","STL","2403","6242","162","762","726","57","8.7%","15.7%",".151",".305",".273",".341",".425",".334","","112","-16.5","72.3","17.6","29.6"
"1963","SFG","2043","6176","197","725","680","55","7.1%","14.4%",".155",".275",".258",".316",".414",".323","","109","-5.4","55.9","0.0","29.6"
"1944","NYY","1629","5978","96","674","631","91","8.7%","10.5%",".122",".285",".264",".333",".387",".341","","104","2.9","29.3","54.7","29.6"
"1899","BAL","1444","5707","17","827","649","364","7.3%","",".078","",".297",".365",".376",".360","","104","25.9","57.6","44.5","29.6"
"2021","LAD","2459","6239","237","830","799","65","9.8%","22.6%",".185",".284",".244",".330",".429",".327","","106","9.3","54.7","33.6","29.5"
"1893","PIT","1238","5433","37","970","816","210","9.9%","5.0%",".112",".312",".299",".377",".411",".379","","110","-7.4","80.5","56.5","29.5"
"2015","SFG","2342","6153","136","696","663","93","7.4%","18.8%",".139",".313",".267",".326",".406",".318","","104","-0.4","25.5","62.0","29.5"
"1903","BOS","1337","5365","48","708","609","141","4.9%","",".120","",".272",".313",".392",".332","","108","-3.9","49.8","59.4","29.5"
"1986","CAL","1732","6297","167","786","743","109","10.7%","13.7%",".149",".273",".255",".338",".404",".331","","103","4.5","30.7","48.0","29.5"
"1970","LAD","2040","6293","87","749","695","138","8.6%","13.4%",".112",".302",".270",".334",".382",".321","","98","7.0","-11.6","81.4","29.4"
"1975","BOS","1744","6175","134","796","756","66","9.1%","12.0%",".142",".295",".275",".344",".417",".346","","106","-8.2","34.5","47.8","29.4"
"2011","CIN","2358","6329","183","735","697","97","8.5%","19.8%",".152",".297",".256",".326",".408",".322","","99","8.7","3.6","81.9","29.4"
"1937","DET","1694","6264","150","935","873","89","10.5%","11.4%",".160",".314",".292",".370",".452",".377","","104","-5.9","31.2","44.8","29.4"
"1894","PHI","1239","5520","40","1143","981","273","9.0%","4.4%",".128",".361",".349",".414",".476",".413","","114","-5.1","144.4","17.9","29.4"
"1993","HOU","1993","6136","138","716","656","103","8.1%","14.8%",".142",".296",".267",".330",".409",".327","","101","-3.1","4.0","72.4","29.4"
"1977","TEX","1775","6342","135","767","704","154","9.4%","14.3%",".135",".299",".270",".342",".405",".333","","104","1.2","33.6","41.0","29.3"
"1884","CHI","1011","4446","142","834","659","","5.9%","10.5%",".165",".290",".281",".324",".446",".347","","121","0.0","149.7","16.6","29.3"
"1969","OAK","2145","6403","148","740","680","100","9.6%","14.9%",".126",".275",".249",".329",".376",".321","","101","7.6","14.1","75.1","29.3"
"2005","PHI","2273","6345","167","807","760","116","10.1%","17.1%",".154",".306",".270",".348",".423",".335","","98","9.2","-2.9","88.2","29.3"
"1931","NYG","1707","5840","101","768","727","83","6.6%","6.8%",".127",".298",".289",".340",".416",".348","","104","15.3","46.0","68.9","29.3"
"1979","PHI","2155","6222","119","683","641","128","9.7%","12.3%",".130",".288",".266",".340",".396",".328","","99","-3.2","-13.0","90.8","29.2"
"1901","STL","1355","5565","39","792","657","190","5.6%","",".098","",".284",".337",".381",".340","","107","-0.2","52.9","50.2","29.2"
"2008","TBR","2299","6312","180","774","735","142","9.9%","19.4%",".162",".302",".260",".340",".422",".335","","105","5.6","43.8","30.3","29.2"
"1956","BRO","1885","5884","179","720","680","65","11.0%","12.5%",".161",".270",".258",".342",".419",".337","","100","1.5","4.2","117.4","29.2"
"1967","STL","2032","6152","115","695","656","102","7.2%","14.9%",".117",".294",".263",".320",".379",".313","","101","4.3","8.9","45.3","29.2"
